N,processors,dagster,tinisat
5,2,0.263445615768433,0.185355663299561
5,3,0.235576391220093,0.185355663299561
5,5,0.275908231735229,0.185355663299561
5,9,0.227974414825439,0.185355663299561
5,17,0.271912097930908,0.185355663299561
5,33,0.34800124168396,0.185355663299561
6,2,0.27386999130249,0.159121036529541
6,3,0.243774652481079,0.159121036529541
6,5,0.255989551544189,0.159121036529541
6,9,0.340758323669434,0.159121036529541
6,17,0.299091815948486,0.159121036529541
6,33,0.344078302383423,0.159121036529541
7,2,0.357252597808838,0.166724920272827
7,3,0.259596824645996,0.166724920272827
7,5,0.291936635971069,0.166724920272827
7,9,0.263911247253418,0.166724920272827
7,17,0.287986755371094,0.166724920272827
7,33,0.339888334274292,0.166724920272827
8,2,0.475878000259399,0.158422231674194
8,3,0.384731769561768,0.158422231674194
8,5,0.25504994392395,0.158422231674194
8,9,0.303909063339233,0.158422231674194
8,17,0.319964408874512,0.158422231674194
8,33,0.371899843215942,0.158422231674194
9,2,0.884846210479736,0.360101699829102
9,3,0.563618898391724,0.360101699829102
9,5,0.423865795135498,0.360101699829102
9,9,0.383917570114136,0.360101699829102
9,17,0.355975151062012,0.360101699829102
9,33,0.439922332763672,0.360101699829102
10,2,1.94017291069031,1.84373378753662
10,3,1.09974837303162,1.84373378753662
10,5,0.7440185546875,1.84373378753662
10,9,0.547943830490112,1.84373378753662
10,17,0.471837759017944,1.84373378753662
10,33,0.571996927261353,1.84373378753662
11,2,5.27208352088928,19.6181507110596
11,3,2.78815150260925,19.6181507110596
11,5,1.64754581451416,19.6181507110596
11,9,1.0718412399292,19.6181507110596
11,17,0.787814617156982,19.6181507110596
11,33,0.663976430892944,19.6181507110596
12,2,21.5157859325409,398.910078525543
12,3,10.7241916656494,398.910078525543
12,5,5.70390057563782,398.910078525543
12,9,3.17991042137146,398.910078525543
12,17,1.91974759101868,398.910078525543
12,33,1.39575672149658,398.910078525543
13,2,126.130258560181,1801.0124578476
13,3,62.3517887592316,1801.0124578476
13,5,32.111976146698,1801.0124578476
13,9,16.8961277008057,1801.0124578476
13,17,9.27965927124023,1801.0124578476
13,33,5.49585580825806,1801.0124578476
14,2,935.905344486237,1801.01256108284
14,3,894.68763256073,1801.01256108284
14,5,813.767755270004,1801.01256108284
14,9,610.471871614456,1801.01256108284
14,17,688.911826848984,1801.01256108284
14,33,347.331707239151,1801.01256108284
