copies,processors,dagster,tinisat
5,2,0.24396514892578125,0.24302935600280762
5,3,0.23201966285705566,0.24302935600280762
5,5,0.23189902305603027,0.24302935600280762
5,9,0.32390332221984863,0.24302935600280762
5,17,0.2680180072784424,0.24302935600280762
5,33,0.3118569850921631,0.24302935600280762
5,64,0.3838357925415039,0.24302935600280762
35,2,0.49994349479675293,0.666473388671875
35,3,0.3603065013885498,0.666473388671875
35,5,0.30365490913391113,0.666473388671875
35,9,0.29989099502563477,0.666473388671875
35,17,0.2799060344696045,0.666473388671875
35,33,0.3319230079650879,0.666473388671875
35,64,0.3879055976867676,0.666473388671875
65,2,0.7999253273010254,1.3370652198791504
65,3,0.4559483528137207,1.3370652198791504
65,5,0.38019847869873047,1.3370652198791504
65,9,0.3836328983306885,1.3370652198791504
65,17,0.3359999656677246,1.3370652198791504
65,33,0.3557765483856201,1.3370652198791504
65,64,0.3958868980407715,1.3370652198791504
95,2,1.0198862552642822,2.19842267036438
95,3,0.6920382976531982,2.19842267036438
95,5,0.4959113597869873,2.19842267036438
95,9,0.4242260456085205,2.19842267036438
95,17,0.3795783519744873,2.19842267036438
95,33,0.37985682487487793,2.19842267036438
95,64,0.4397919178009033,2.19842267036438
125,2,1.3480522632598877,3.497270107269287
125,3,0.8198802471160889,3.497270107269287
125,5,0.5879263877868652,3.497270107269287
125,9,0.476102352142334,3.497270107269287
125,17,0.435713529586792,3.497270107269287
125,33,0.42389822006225586,3.497270107269287
125,64,0.4879016876220703,3.497270107269287
155,2,1.6279189586639404,5.56085467338562
155,3,0.9479403495788574,5.56085467338562
155,5,0.6879768371582031,5.56085467338562
155,9,0.528186559677124,5.56085467338562
155,17,0.45158886909484863,5.56085467338562
155,33,0.4838080406188965,5.56085467338562
155,64,0.6158809661865234,5.56085467338562
185,2,1.87601900100708,7.62394905090332
185,3,1.0838510990142822,7.62394905090332
185,5,0.7719757556915283,7.62394905090332
185,9,0.6079721450805664,7.62394905090332
185,17,0.5038824081420898,7.62394905090332
185,33,0.5278332233428955,7.62394905090332
185,64,0.6358981132507324,7.62394905090332
215,2,2.1761200428009033,10.53851842880249
215,3,1.2757782936096191,10.53851842880249
215,5,0.9160397052764893,10.53851842880249
215,9,0.6878058910369873,10.53851842880249
215,17,0.571831226348877,10.53851842880249
215,33,0.5598914623260498,10.53851842880249
215,64,0.7398138046264648,10.53851842880249
245,2,2.5089409351348877,16.78675365447998
245,3,1.442943811416626,16.78675365447998
245,5,0.903996467590332,16.78675365447998
245,9,0.7518055438995361,16.78675365447998
245,17,0.643986701965332,16.78675365447998
245,33,0.6278040409088135,16.78675365447998
245,64,0.8998973369598389,16.78675365447998
275,2,2.8158211708068848,19.461107969284058
275,3,1.6039998531341553,19.461107969284058
275,5,1.0848820209503174,19.461107969284058
275,9,0.8029654026031494,19.461107969284058
275,17,0.7158310413360596,19.461107969284058
275,33,0.7037537097930908,19.461107969284058
275,64,0.915757417678833,19.461107969284058
305,2,3.1959927082061768,22.914547204971313
305,3,1.847804307937622,22.914547204971313
305,5,1.2120835781097412,22.914547204971313
305,9,0.9157416820526123,22.914547204971313
305,17,0.7637698650360107,22.914547204971313
305,33,0.820004940032959,22.914547204971313
305,64,1.06782865524292,22.914547204971313
335,2,3.471991539001465,32.49181389808655
335,3,1.9359185695648193,32.49181389808655
335,5,1.3320322036743164,32.49181389808655
335,9,1.0158717632293701,32.49181389808655
