N,processors,dagster,tinisat
5,2,0.16651105880737305,0.18535566329956055
5,3,0.16553544998168945,0.18535566329956055
5,5,0.164872407913208,0.18535566329956055
5,9,0.20067811012268066,0.18535566329956055
5,17,0.22196483612060547,0.18535566329956055
5,33,0.2719554901123047,0.18535566329956055
5,64,0.3074929714202881,0.18535566329956055
6,2,0.128767728805542,0.15912103652954102
6,3,0.16209650039672852,0.15912103652954102
6,5,0.16470789909362793,0.15912103652954102
6,9,0.22022223472595215,0.15912103652954102
6,17,0.2032465934753418,0.15912103652954102
6,33,0.2614936828613281,0.15912103652954102
6,64,0.32775092124938965,0.15912103652954102
7,2,0.17928266525268555,0.16672492027282715
7,3,0.1377730369567871,0.16672492027282715
7,5,0.17198729515075684,0.16672492027282715
7,9,0.20856070518493652,0.16672492027282715
7,17,0.22217583656311035,0.16672492027282715
7,33,0.2652904987335205,0.16672492027282715
7,64,0.33288002014160156,0.16672492027282715
8,2,0.229478120803833,0.15842223167419434
8,3,0.18923521041870117,0.15842223167419434
8,5,0.19599699974060059,0.15842223167419434
8,9,0.22462010383605957,0.15842223167419434
8,17,0.24254584312438965,0.15842223167419434
8,33,0.27526402473449707,0.15842223167419434
8,64,0.36718130111694336,0.15842223167419434
9,2,0.3440828323364258,0.36010169982910156
9,3,0.2616755962371826,0.36010169982910156
9,5,0.23682069778442383,0.36010169982910156
9,9,0.2682313919067383,0.36010169982910156
9,17,0.2705719470977783,0.36010169982910156
9,33,0.28845834732055664,0.36010169982910156
9,64,0.415346622467041,0.36010169982910156
10,2,0.9262895584106445,1.843733787536621
10,3,0.5489482879638672,1.843733787536621
10,5,0.3795149326324463,1.843733787536621
10,9,0.37816452980041504,1.843733787536621
10,17,0.35074734687805176,1.843733787536621
10,33,0.37433934211730957,1.843733787536621
10,64,0.4921422004699707,1.843733787536621
11,2,4.26284122467041,19.61815071105957
11,3,2.313494920730591,19.61815071105957
11,5,1.291374921798706,19.61815071105957
11,9,1.0574686527252197,19.61815071105957
11,17,0.8557615280151367,19.61815071105957
11,33,0.9312081336975098,19.61815071105957
11,64,1.0077219009399414,19.61815071105957
12,2,28.817259788513184,398.9100785255432
12,3,14.413764238357544,398.9100785255432
12,5,7.523766040802002,398.9100785255432
12,9,4.069439888000488,398.9100785255432
12,17,3.8713788986206055,398.9100785255432
12,33,3.1793856620788574,398.9100785255432
12,64,3.730285882949829,398.9100785255432
13,2,246.72397589683533,1801.0124578475952
13,3,156.3844666481018,1801.0124578475952
13,5,63.10072612762451,1801.0124578475952
13,9,45.39408540725708,1801.0124578475952
13,17,22.67898917198181,1801.0124578475952
13,33,21.185994863510132,1801.0124578475952
13,64,26.540127277374268,1801.0124578475952
14,2,1801.013244152069,1801.01256108284
14,3,1801.0142397880554,1801.01256108284
14,5,1801.0149838924408,1801.01256108284
14,9,1801.0188295841217,1801.01256108284
14,17,1801.0271427631378,1801.01256108284
14,33,1469.3303191661835,1801.01256108284
14,64,1802.017567873001,1801.01256108284
