copies,processors,dagster,tinisat
5,2,0.2362961769104004,0.28252577781677246
5,3,0.22471952438354492,0.28252577781677246
5,5,0.21304702758789062,0.28252577781677246
5,9,0.23718547821044922,0.28252577781677246
5,17,0.2891275882720947,0.28252577781677246
5,33,0.32294368743896484,0.28252577781677246
5,64,0.39001917839050293,0.28252577781677246
75,2,1.1755552291870117,2.935652494430542
75,3,0.5662057399749756,2.935652494430542
75,5,0.40426206588745117,2.935652494430542
75,9,0.39684247970581055,2.935652494430542
75,17,0.3904001712799072,2.935652494430542
75,33,0.41986513137817383,2.935652494430542
75,64,0.46938467025756836,2.935652494430542
145,2,2.173146963119507,8.755360126495361
145,3,0.9474582672119141,8.755360126495361
145,5,0.6919465065002441,8.755360126495361
145,9,0.5541701316833496,8.755360126495361
145,17,0.4757850170135498,8.755360126495361
145,33,0.48233509063720703,8.755360126495361
145,64,0.5186018943786621,8.755360126495361
215,2,3.157050848007202,20.2554829120636
215,3,1.348191499710083,20.2554829120636
215,5,0.8999366760253906,20.2554829120636
215,9,0.7023584842681885,20.2554829120636
215,17,0.5699207782745361,20.2554829120636
215,33,0.6048417091369629,20.2554829120636
215,64,0.7339260578155518,20.2554829120636
285,2,3.0487685203552246,26.64640712738037
285,3,1.7202212810516357,26.64640712738037
285,5,1.161741018295288,26.64640712738037
285,9,0.8778998851776123,26.64640712738037
285,17,0.7323768138885498,26.64640712738037
285,33,0.7414553165435791,26.64640712738037
285,64,0.9765686988830566,26.64640712738037
355,2,3.8985092639923096,37.546215772628784
355,3,2.151851177215576,37.546215772628784
355,5,1.4429419040679932,37.546215772628784
355,9,1.0677170753479004,37.546215772628784
355,17,0.9299347400665283,37.546215772628784
355,33,0.9482111930847168,37.546215772628784
355,64,1.2503952980041504,37.546215772628784
425,2,4.755660533905029,76.5655882358551
425,3,2.665273904800415,76.5655882358551
425,5,1.7209069728851318,76.5655882358551
425,9,1.3016605377197266,76.5655882358551
425,17,1.118117332458496,76.5655882358551
425,33,1.16239333152771,76.5655882358551
425,64,1.6028640270233154,76.5655882358551
495,2,5.643772602081299,121.84343338012695
495,3,3.1462738513946533,121.84343338012695
495,5,2.0703799724578857,121.84343338012695
495,9,1.4439446926116943,121.84343338012695
495,17,1.292304515838623,121.84343338012695
495,33,1.3949286937713623,121.84343338012695
495,64,2.2550694942474365,121.84343338012695
565,2,6.531620502471924,179.679833650589
565,3,3.693495988845825,179.679833650589
565,5,2.3511414527893066,179.679833650589
565,9,1.7219109535217285,179.679833650589
565,17,1.525442361831665,179.679833650589
565,33,1.645319938659668,179.679833650589
565,64,2.6625049114227295,179.679833650589
635,2,7.4814841747283936,293.3197638988495
635,3,4.227936029434204,293.3197638988495
635,5,2.743969202041626,293.3197638988495
635,9,1.9910361766815186,293.3197638988495
635,17,1.748434066772461,293.3197638988495
635,33,1.9154088497161865,293.3197638988495
635,64,3.285806179046631,293.3197638988495
705,2,8.676511764526367,304.8456428050995
705,3,4.85132622718811,304.8456428050995
705,5,2.93356990814209,304.8456428050995
705,9,2.2353708744049072,304.8456428050995
705,17,1.957042932510376,304.8456428050995
705,33,2.3016510009765625,304.8456428050995
705,64,4.0565900802612305,304.8456428050995
775,2,9.6584312915802,390.5627796649933
775,3,5.485703945159912,390.5627796649933
775,5,3.3594651222229004,390.5627796649933
775,9,2.528398036956787,390.5627796649933
775,17,2.223759651184082,390.5627796649933
775,33,2.5509541034698486,390.5627796649933
775,64,4.717242240905762,390.5627796649933
845,2,10.788349628448486,484.9228014945984
845,3,6.121047019958496,484.9228014945984
845,5,3.8780977725982666,484.9228014945984
845,9,2.8381338119506836,484.9228014945984
845,17,2.476705551147461,484.9228014945984
845,33,2.9621360301971436,484.9228014945984
845,64,5.361574172973633,484.9228014945984
915,2,11.835201978683472,738.2671029567719
915,3,6.748381614685059,738.2671029567719
915,5,4.315030574798584,738.2671029567719
915,9,3.1183969974517822,738.2671029567719
915,17,2.8478481769561768,738.2671029567719
915,33,3.3325388431549072,738.2671029567719
915,64,6.388185977935791,738.2671029567719
985,2,12.97413420677185,721.1471772193909
985,3,7.428805828094482,721.1471772193909
985,5,4.735558748245239,721.1471772193909
