j,dagster,tinisat,lingeling
1,3.65566599369,1.89929354191,2.0478330850599997
2,7.18056344986,12.09401249885,14.52324056625
3,11.24249851705,37.0456660986,49.033772945449996
4,16.8962806463,87.63180947305,145.7256149055
5,32.9700474739,176.9366720915,234.1009510755
6,44.26160252095,302.9743504525,370.223791957
7,65.0020265579,537.566624522,560.426512003
