i,j,tinisat,lingeling,dagster2,dagster3,dagster5,dagster9,dagster17,dagster33
0,1,0,0,1.2882344722747803,1.2089970111846924,1.3066294193267822,1.4477417469024658,1.4601330757141113,1.631751537322998
0,2,0,0,13.089303255081177,11.980017185211182,13.168121099472046,13.311810970306396,13.683960199356079,15.148179054260254
0,3,0,0,6.170629501342773,6.1760149002075195,6.500017166137695,6.435812711715698,7.139984130859375,11.111949443817139
0,4,0,0,18.598496198654175,16.71154022216797,15.624031066894531,15.607860326766968,18.980002403259277,30.516033172607422
0,5,0,0,20.372106075286865,18.743892669677734,20.28796625137329,21.455998182296753,28.199854850769043,48.32013177871704
0,6,0,0,65.4990131855011,50.63605499267578,45.57203698158264,51.47972536087036,69.1041419506073,126.55570316314697
0,7,0,0,106.88999557495117,81.74003052711487,68.72406840324402,78.75195407867432,120.83973455429077,211.65207481384277
0,8,0,0,67.90439867973328,61.295960664749146,54.339985847473145,66.81602263450623,93.4478816986084,163.8800187110901
0,9,0,0,179.01014709472656,139.8715877532959,123.62005662918091,140.22794342041016,204.39611959457397,387.29165863990784
0,10,0,0,211.72001934051514,170.48399257659912,151.09595489501953,170.42793941497803,266.9878351688385,458.38291358947754
0,11,0,0,294.5702681541443,237.98003697395325,206.41616773605347,231.6476855278015,370.33595418930054,529.8666117191315
0,12,0,0,407.12614846229553,325.99591875076294,278.34820437431335,289.5795419216156,454.58923983573914,517.873432636261
0,13,0,0,687.526939868927,560.7800469398499,459.43191480636597,471.03981614112854,791.6021592617035,674.5933749675751
0,14,0,0,745.8634107112885,612.9516837596893,507.1321358680725,532.0127594470978,768.3945648670197,441.08064126968384
0,15,0,0,1193.7361311912537,946.4758613109589,771.9160759449005,767.3685147762299,990.9847066402435,179.8697805404663
1,1,0,0,1.200901985168457,1.1719756126403809,1.2962288856506348,1.3278627395629883,1.3920187950134277,1.4557952880859375
1,2,0,0,4.980191230773926,4.5919578075408936,5.136483192443848,4.843575477600098,4.7960052490234375,5.576011657714844
1,3,0,0,5.5362818241119385,5.299984693527222,4.89209771156311,5.11199426651001,5.723680257797241,8.6359281539917
1,4,0,0,19.076858520507812,17.99591302871704,17.048012733459473,17.816174030303955,20.411808490753174,38.79192614555359
1,5,0,0,19.997238874435425,18.13998055458069,18.005656003952026,20.490326642990112,28.695826292037964,48.48400402069092
1,6,0,0,55.28030729293823,43.55201506614685,45.29204034805298,48.13609337806702,73.03577470779419,127.22785997390747
1,7,0,0,52.408791065216064,45.355968952178955,40.53210926055908,49.97192692756653,72.49569964408875,125.48412728309631
1,8,0,0,151.81813955307007,116.82398986816406,100.07591676712036,112.9680666923523,171.6438765525818,311.8120291233063
1,9,0,0,145.66221570968628,116.63620376586914,107.75582361221313,121.77194237709045,196.84789729118347,345.35202407836914
1,10,0,0,225.29024028778076,182.97200274467468,159.1001160144806,178.35584235191345,266.55187702178955,483.3170132637024
1,11,0,0,456.097669839859,371.90404415130615,289.0440936088562,310.17976474761963,487.0718398094177,702.5508940219879
1,12,0,0,1116.357610464096,839.3959522247314,698.3600006103516,798.8038365840912,1281.093561410904,1462.5538239479065
1,13,0,0,650.341465473175,504.2039370536804,432.43219661712646,470.9106876850128,754.0837254524231,547.6337382793427
1,14,0,0,774.7469911575317,646.1840858459473,541.2318336963654,539.45778632164,731.4369235038757,249.85691857337952
