string,size,runtimes
problem201.cnf,1,0.4320187568664551
problem101.cnf,1,0.3771488666534424
problem1.cnf,1,0.3453385829925537
problem301.cnf,1,0.4023418426513672
problem401.cnf,1,0.37422871589660645
problem302.cnf,2,1.581209659576416
problem202.cnf,2,1.5574560165405273
problem402.cnf,2,1.4438691139221191
problem2.cnf,2,1.537783145904541
problem102.cnf,2,1.6508357524871826
problem203.cnf,3,3.9411139488220215
problem403.cnf,3,3.897298574447632
problem3.cnf,3,3.51851224899292
problem303.cnf,3,4.0795371532440186
problem103.cnf,3,2.817862033843994
problem204.cnf,4,10.234125137329102
problem304.cnf,4,7.782491683959961
problem404.cnf,4,8.939789772033691
problem104.cnf,4,8.516185760498047
problem4.cnf,4,7.508852958679199
problem305.cnf,5,13.389830589294434
problem205.cnf,5,12.425482749938965
problem5.cnf,5,9.519843816757202
problem405.cnf,5,14.399013757705688
problem105.cnf,5,10.652268648147583
problem206.cnf,6,22.274672269821167
problem406.cnf,6,20.902398109436035
problem106.cnf,6,21.208508253097534
problem306.cnf,6,15.462616682052612
problem6.cnf,6,38.761571407318115
problem107.cnf,7,24.01442265510559
problem307.cnf,7,43.595216274261475
problem207.cnf,7,39.197935819625854
problem407.cnf,7,23.823063373565674
problem7.cnf,7,48.971535205841064
problem308.cnf,8,37.180927991867065
problem108.cnf,8,68.10811638832092
problem208.cnf,8,49.21114635467529
problem408.cnf,8,39.39017343521118
problem8.cnf,8,23.456116914749146
problem109.cnf,9,70.56429743766785
problem9.cnf,9,75.03096270561218
problem409.cnf,9,71.19854784011841
problem209.cnf,9,101.55027961730957
problem309.cnf,9,34.18311071395874
problem210.cnf,10,85.89562797546387
problem10.cnf,10,83.36716651916504
problem310.cnf,10,39.33835411071777
