string,size,runtimes
problem201.cnf,1,5.00320839881897
problem101.cnf,1,4.818706512451172
problem1.cnf,1,4.032446384429932
problem301.cnf,1,4.797937870025635
problem401.cnf,1,5.291451454162598
problem302.cnf,2,5.841237545013428
problem202.cnf,2,5.490529537200928
problem402.cnf,2,5.32016921043396
problem2.cnf,2,5.600918769836426
problem102.cnf,2,5.852275848388672
problem203.cnf,3,7.46929669380188
problem403.cnf,3,8.019777297973633
problem3.cnf,3,7.34867525100708
problem303.cnf,3,7.8329079151153564
problem103.cnf,3,7.443401575088501
problem204.cnf,4,12.84654426574707
problem304.cnf,4,13.00081992149353
problem404.cnf,4,12.720537900924683
problem104.cnf,4,12.896693468093872
problem4.cnf,4,12.407556772232056
problem305.cnf,5,19.335078716278076
problem205.cnf,5,18.577045440673828
problem5.cnf,5,17.33486795425415
problem405.cnf,5,20.50190758705139
problem105.cnf,5,17.838829278945923
problem206.cnf,6,29.09237551689148
problem406.cnf,6,28.221893072128296
problem106.cnf,6,27.26348567008972
problem306.cnf,6,28.273897886276245
problem6.cnf,6,37.1952691078186
problem107.cnf,7,24.558448553085327
problem307.cnf,7,27.940242767333984
problem207.cnf,7,30.504740715026855
problem407.cnf,7,22.621971130371094
problem7.cnf,7,32.695473432540894
problem308.cnf,8,31.430091857910156
problem108.cnf,8,37.21488928794861
problem208.cnf,8,31.911394119262695
problem408.cnf,8,35.04347848892212
problem8.cnf,8,29.97280788421631
problem109.cnf,9,43.85956645011902
problem9.cnf,9,46.42894625663757
problem409.cnf,9,45.63155245780945
problem209.cnf,9,56.345961570739746
problem309.cnf,9,45.82322669029236
problem210.cnf,10,55.2663791179657
problem10.cnf,10,52.79725885391235
problem310.cnf,10,53.640299797058105
problem410.cnf,10,48.02782726287842
problem110.cnf,10,52.42607045173645
problem311.cnf,11,69.2786431312561
problem211.cnf,11,67.08661675453186
problem11.cnf,11,71.6017677783966
problem411.cnf,11,68.75418949127197
problem111.cnf,11,86.23014211654663
problem412.cnf,12,86.4098424911499
