i,j,tinisat,lingeling,dagster2,dagster3,dagster5,dagster9,dagster17,dagster33
0,1,0,0,0.8815011978149414,0.9355499744415283,0.948134183883667,1.0638742446899414,1.0317773818969727,1.180241584777832
0,2,0,0,3.5012850761413574,3.572208881378174,3.9671075344085693,3.5531957149505615,3.7657530307769775,4.535814523696899
0,3,0,0,13.840545177459717,13.541731357574463,13.206170082092285,14.166143655776978,14.263866424560547,17.755213737487793
0,4,0,0,15.592591762542725,14.455393314361572,13.229772329330444,14.335174560546875,17.031813621520996,27.206448554992676
0,5,0,0,23.104126453399658,20.98416042327881,20.16748571395874,22.111666917800903,30.144620418548584,47.90837001800537
0,6,0,0,59.37939763069153,44.90791344642639,42.49193024635315,48.28802728652954,65.66769313812256,120.26401138305664
0,7,0,0,66.32447504997253,57.55517363548279,52.53126668930054,65.31026601791382,89.23077630996704,157.56618523597717
0,8,0,0,113.993483543396,92.21566319465637,80.9480049610138,94.99199080467224,139.33592343330383,234.72400212287903
0,9,0,0,136.91157984733582,109.69576525688171,96.62005710601807,111.8919095993042,160.77989506721497,301.4031364917755
0,10,0,0,207.91368055343628,171.06420469284058,153.39549684524536,171.76411747932434,261.05983901023865,463.51353645324707
0,11,0,0,320.9748589992523,250.36808013916016,217.28390192985535,242.0520100593567,348.99196553230286,492.840411901474
0,12,0,0,287.1021292209625,239.69192218780518,201.63616228103638,224.7477285861969,342.904452085495,338.8085582256317
0,13,0,0,466.0760931968689,370.2594585418701,301.6561646461487,328.3877263069153,494.9847893714905,382.2888994216919
0,14,0,0,590.2067530155182,476.36006569862366,396.312068939209,411.3284351825714,599.4197380542755,336.13602662086487
0,15,0,0,782.4785261154175,638.8136210441589,549.2119657993317,556.9923949241638,642.1958649158478,125.11507487297058
1,1,0,0,1.2278449535369873,1.1701738834381104,1.236053228378296,1.2999324798583984,1.3520169258117676,1.4159955978393555
1,2,0,0,2.654059410095215,2.796055793762207,2.8602120876312256,2.9517877101898193,3.119931221008301,3.443930149078369
1,3,0,0,19.20992875099182,18.060076475143433,17.496131420135498,18.61182141304016,19.755874156951904,21.76371717453003
1,4,0,0,21.093520164489746,19.676056146621704,20.0883629322052,20.66755175590515,23.423964977264404,40.29588174819946
1,5,0,0,30.19686770439148,23.471683025360107,21.180249452590942,23.95177698135376,31.931891918182373,54.79172158241272
1,6,0,0,48.796056270599365,41.344016313552856,39.38945531845093,45.25045442581177,61.807987689971924,116.53984498977661
1,7,0,0,45.83464288711548,40.16814208030701,36.583942890167236,45.21988844871521,63.56804180145264,111.94772338867188
1,8,0,0,162.5783920288086,128.01992845535278,135.51608777046204,149.9398934841156,219.75573110580444,398.4960205554962
1,9,0,0,144.9271583557129,115.92018389701843,100.32411098480225,105.27178812026978,169.20780563354492,298.58790922164917
1,10,0,0,250.72525763511658,204.0880150794983,171.1040940284729,199.99986934661865,299.0477864742279,536.9861526489258
1,11,0,0,244.9202220439911,195.29199123382568,178.32423186302185,195.71574783325195,302.5558989048004,409.39058661460876
1,12,0,0,466.46979093551636,386.1333661079407,315.1038022041321,322.16018772125244,516.9763419628143,564.1742050647736
1,13,0,0,577.2981450557709,458.92410135269165,379.45205068588257,439.1398251056671,657.5732402801514,527.566193819046
1,14,0,0,795.9639909267426,618.7613594532013,550.0078520774841,588.424252986908,857.3614277839661,549.78053855896
1,15,0,0,970.2599422931671,776.7320275306702,638.8958957195282,672.9443883895874,821.3842811584473,126.00995254516602
2,1,0,0,4.187256336212158,4.141452789306641,4.292042970657349,4.383915424346924,4.607964277267456,5.091952085494995
2,2,0,0,3.1757686138153076,3.176046133041382,3.3882462978363037,3.2796943187713623,3.3398895263671875,3.8999295234680176
2,3,0,0,9.934956312179565,9.324081182479858,8.43613076210022,9.139874458312988,9.179901838302612,12.815968036651611
2,4,0,0,18.232295989990234,16.344069957733154,15.752268075942993,16.491787910461426,19.259852647781372,37.05188536643982
2,5,0,0,30.105364084243774,24.548158407211304,23.140149354934692,25.93981122970581,33.86383032798767,58.86775732040405
