i,j,tinisat,lingeling,dagster2,dagster3,dagster5,dagster9,dagster17,dagster33
2,6,0,0,36.18610072135925,29.751933336257935,29.919998168945312,36.46785759925842,49.3599488735199,85.87182354927063
2,7,0,0,80.34630990028381,68.66426730155945,58.664023876190186,70.20385408401489,97.291743516922,177.48425006866455
2,8,0,0,150.94762349128723,116.26797199249268,104.21228742599487,114.33572459220886,178.22789239883423,319.52387261390686
2,9,0,0,170.39843082427979,133.44412899017334,110.96429824829102,131.59170746803284,202.61964559555054,368.01628828048706
2,10,0,0,175.7775866985321,151.81599855422974,127.6122829914093,152.31161665916443,232.55984210968018,398.40902042388916
2,11,0,0,220.93658185005188,185.64410877227783,158.7240755558014,175.15171456336975,261.6279389858246,341.9219892024994
2,12,0,0,337.8175129890442,273.97329235076904,229.98035144805908,249.58372282981873,394.66471815109253,398.57115650177
2,13,0,0,471.00010204315186,372.1803460121155,303.4194424152374,318.1639530658722,513.6661465167999,369.7049000263214
2,14,0,0,1091.2254800796509,853.8375182151794,717.4843926429749,748.8244128227234,1052.8899924755096,523.8880379199982
2,15,0,0,694.6627550125122,554.7317802906036,463.8198764324188,480.4803740978241,575.400918006897,124.74614000320435
3,1,0,0,2.0768160820007324,2.0118541717529297,2.104154109954834,2.159834146499634,2.2959558963775635,2.4359707832336426
3,2,0,0,7.679988622665405,7.724065542221069,7.888061046600342,7.995907306671143,8.115964412689209,8.52008843421936
3,3,0,0,8.642197847366333,7.799990653991699,7.640279531478882,7.423706531524658,7.971952438354492,12.759777784347534
3,4,0,0,14.86350417137146,13.579954862594604,13.051997900009155,13.435922622680664,16.155853033065796,29.34790277481079
3,5,0,0,23.11116123199463,20.19976496696472,19.924140214920044,22.935813426971436,30.063730716705322,53.70393657684326
3,6,0,0,36.927884578704834,30.440232515335083,29.406540155410767,34.27338624000549,46.67997694015503,78.84595108032227
3,7,0,0,211.22955584526062,172.27178740501404,162.35585975646973,193.1539604663849,229.90992212295532,388.72797536849976
3,8,0,0,142.26270246505737,111.83986616134644,100.70415496826172,116.07192015647888,167.97165989875793,307.1094777584076
3,9,0,0,110.8497838973999,92.94403123855591,82.79615759849548,97.94785761833191,140.05166482925415,249.91622686386108
3,10,0,0,153.9816460609436,136.26402807235718,119.42827033996582,130.85558819770813,199.21199703216553,338.0571458339691
3,11,0,0,376.9829771518707,287.3022577762604,233.86732244491577,261.09204959869385,401.4880328178406,555.5331406593323
3,12,0,0,395.3834230899811,311.8882186412811,266.25978088378906,292.16462898254395,446.24011635780334,487.09680795669556
3,13,0,0,894.7440826892853,667.8517622947693,544.3840365409851,633.8319058418274,960.9495615959167,909.3094041347504
3,14,0,0,736.419899225235,593.4962515830994,495.95132780075073,511.48451948165894,826.4802923202515,417.98220586776733
3,15,0,0,755.8634049892426,594.5013449192047,519.4959313869476,512.8410563468933,619.7366707324982,125.26894640922546
4,1,0,0,1.1840314865112305,1.0879244804382324,1.2239439487457275,1.300074815750122,1.3839750289916992,1.4079163074493408
4,2,0,0,3.9716920852661133,3.992109775543213,4.2118964195251465,4.364139795303345,4.471869230270386,4.975686073303223
4,3,0,0,7.469127655029297,6.368122100830078,6.636133432388306,6.6636903285980225,7.3319079875946045,10.419987201690674
4,4,0,0,12.110388278961182,11.508074283599854,11.099714040756226,11.843997478485107,14.628096103668213,27.487916231155396
4,5,0,0,33.934481620788574,28.552075147628784,27.32382321357727,31.080121278762817,40.071866273880005,68.87984824180603
4,6,0,0,41.990851640701294,35.79998731613159,33.70401573181152,40.77988958358765,53.963990211486816,98.35573530197144
4,7,0,0,61.14224338531494,51.30405926704407,52.436336040496826,59.05163383483887,84.15586614608765,151.0357596874237
4,8,0,0,86.81421136856079,74.73594427108765,68.40812659263611,75.63562369346619,114.57192158699036,204.46794056892395
4,9,0,0,155.9376094341278,123.20017457008362,112.0800769329071,122.06779503822327,188.7116675376892,332.20013308525085
4,10,0,0,380.7636833190918,290.5360600948334,237.1800639629364,246.72389769554138,392.3036448955536,715.1353878974915
4,11,0,0,277.63892436027527,230.8080348968506,199.2441987991333,220.84771299362183,342.15580677986145,459.4883773326874
4,12,0,0,481.7792692184448,381.5639708042145,309.61191177368164,319.500013589859,482.2206518650055,531.5766355991364
4,13,0,0,408.6966345310211,330.4879035949707,280.9079101085663,307.75998854637146,439.7770314216614,390.07554721832275
