i,j,tinisat,lingeling,dagster 2,dagster 3,dagster 5,dagster 9,dagster 17,dagster 33,dagster 65
20,5,184.7756422,288.6084802,44.39088655,27.25250864,23.82821083,25.82047844,27.34262109,29.21559906,38.01347899
20,6,334.9345179,408.5108809,88.65398169,55.73750019,40.6567719,40.32495451,43.08808184,45.34164023,61.48852849
20,7,760.6748395,649.1693058,200.5445704,120.2715638,88.32414126,77.26664615,78.10514092,87.21718383,117.3169057
20,8,984.5101833,977.4463794,235.9582758,136.2043147,91.46449256,88.22758746,86.62053609,98.21737766,133.2599158
20,9,1195.820355,1367.017246,231.0130892,129.7049193,96.4825778,87.46446037,88.08581829,95.18872523,112.5265796
21,1,1.625695944,1.048092127,1.455559492,1.426155806,1.451931,1.609691143,1.692031384,1.793376446,2.395270109
21,2,9.486389399,6.612937689,4.846601725,4.064932585,4.29206562,4.16208148,4.388832092,4.660619736,5.351245165
21,3,28.21269655,30.0708499,12.9122932,8.696562529,9.444676161,8.928049326,9.943222284,10.87349415,13.053828
21,4,87.4855845,129.7586651,34.98851228,22.81390977,21.41128397,22.5707922,23.98725033,25.24616766,32.85714531
21,5,170.9855568,268.0696156,43.8599503,28.40809512,24.32654381,25.04717946,26.54587841,28.65247893,37.06929278
21,6,346.328146,406.385644,86.58001733,53.89559031,37.66164112,37.55558467,38.53546524,41.93244338,54.13652301
21,7,482.2670345,643.9727728,99.18993092,62.42121124,48.37014723,46.44102502,47.55034113,51.7396574,67.48484325
21,8,759.692688,869.7983906,150.6953752,90.86952996,64.88357615,62.65048194,67.03387046,70.99066663,94.49614954
21,9,1807.014969,1367.57189,388.2101202,218.9385848,146.0258415,136.6661658,149.9747581,163.9428909,208.9957824
22,1,2.538246393,2.036373615,2.168239355,2.127999306,2.192523956,2.37078023,2.414685488,2.569335699,3.369594336
22,2,8.895944595,8.961305618,7.06184268,6.11175108,6.20017314,6.406867743,6.733063698,7.287786961,8.571634054
22,3,31.56977654,41.71738672,10.4315784,7.54019165,6.952469826,6.995520592,7.639628887,8.081352711,9.672356606
22,4,55.23807216,152.1783276,18.24010968,12.70871878,11.35744429,12.54738092,13.32975984,13.72049165,17.12561679
22,5,173.3962851,229.3235867,59.1432786,35.90641427,28.65432811,31.74820924,31.23591018,35.42000532,44.24427962
22,6,465.2753015,424.5592287,145.942246,84.15642381,59.81848764,54.60327291,54.10624695,60.97226453,81.87867141
22,7,488.0097041,625.7598314,113.749119,70.19683528,49.53846431,50.52800465,49.86287236,54.89504671,72.00294328
22,8,893.0823777,857.8851295,189.0538301,112.9479167,81.37817502,75.26499867,75.95108604,86.67531967,113.0365832
22,9,1686.074029,1329.36397,388.9931791,217.0984375,148.3352327,139.27617,133.2071946,143.1001661,169.1258388
23,1,1.411215782,2.118351936,1.146197796,1.145068169,1.13576746,1.210951567,1.346814394,1.574267626,1.899654627
23,2,16.16840768,32.07061648,7.770983458,7.496130943,5.996383429,6.181515932,6.526030302,6.26255393,7.439631939
23,3,22.84888744,30.95685053,10.98909163,7.982913733,7.88646698,8.034908056,8.475838184,8.711904049,10.48114252
23,4,75.70146441,152.275321,25.73852873,17.20234632,15.01061416,14.8692801,16.53039479,16.78707814,20.92989612
23,5,198.1218059,300.1021881,86.16326761,53.15640259,53.74005175,54.62635446,56.77495217,63.7771244,80.72063875
23,6,387.2610643,458.8401902,100.5613272,60.76750445,44.77848029,43.62562156,46.51352477,49.80079222,64.10980988
23,7,1130.705273,589.4639494,308.2779348,168.8614891,121.6279716,122.0950453,122.4640465,136.2060862,184.1988754
23,8,684.216511,717.6891768,182.023592,110.8032708,78.45315361,76.72375894,77.9920547,84.70460939,113.104836
23,9,1627.964972,1410.054512,324.2196236,190.3152659,126.2631245,107.0857031,116.2502553,131.8924651,153.124521
24,1,1.804284334,1.420469999,1.234957933,1.183570862,1.223406792,1.291575193,1.358725309,1.5179739,2.102920771
24,2,11.35115409,17.20426822,7.153005123,4.997185469,5.112625122,4.658099174,5.640565634,6.112433195,7.432579041
24,3,39.75062346,64.80493736,16.06123638,12.32663584,10.68740082,10.87999153,11.21770501,11.70896411,13.78036809
24,4,89.10614014,162.8814337,43.83585835,28.5183816,23.59135246,24.99690723,25.776371,27.53388023,35.02439308
24,5,173.232177,329.7283521,55.87096071,35.06234717,31.20311356,32.72690368,34.23202062,37.09502459,47.05959892
24,6,303.9846487,448.1921484,62.95509195,38.78390098,30.85159707,32.12299442,33.27350926,35.08636808,44.28488517
24,7,444.2693431,571.7180734,99.7670753,62.07921195,47.46393871,46.30079222,47.6456778,51.04967451,66.39087057
24,8,1300.222803,892.6390557,228.0624282,129.1115298,88.49093437,82.0985961,81.04486275,88.10861254,116.830019
24,9,1913.809402,1399.681332,333.0412269,192.7863522,127.5419674,101.9679821,104.5407937,114.7600527,138.1273975
25,1,3.299456358,2.010643005,2.104455948,2.056848049,2.088629484,2.302553177,2.327021837,2.493605137,3.191733837
