N,no_incremental,incremental
3,1.6407434940338135,0.05064511299133301
4,0.08967328071594238,0.10010695457458496
5,0.1610722541809082,0.12218046188354492
6,0.8870923519134521,0.965329647064209
7,14.54305124282837,10.984017133712769
8,1195.9394285678864,1231.7753558158875
