N,M,dagster_time,dagster_return_code
9,8,1.9184391498565674,0.2861955165863037
10,8,0.4301464557647705,0.3955349922180176
11,8,0.7861430644989014,0.5810456275939941
12,8,1.2185444831848145,0.7838599681854248
13,8,2.183736562728882,1.1557319164276123
14,8,3.700618028640747,1.7154977321624756
15,8,6.677586317062378,4.25960898399353
